values	x	y
1	0.5	99.5
2	0.5	99.5
10	0.5	99.5
0.004999979	0.5	99.5
0.01499944	1.5	99.5
0.0249974	2.5	99.5
0.03499286	3.5	99.5
0.04498481	4.5	99.5
0.05497228	5.5	99.5
0.06495424	6.5	99.5
0.07492971	7.5	99.5
0.08489768	8.5	99.5
0.09485717	9.5	99.5
0.1048072	10.5	99.5
0.1147467	11.5	99.5
0.1246747	12.5	99.5
0.1345903	13.5	99.5
0.1444924	14.5	99.5
0.1543801	15.5	99.5
0.1642523	16.5	99.5
0.1741081	17.5	99.5
0.1839465	18.5	99.5
0.1937665	19.5	99.5
0.2035672	20.5	99.5
0.2133474	21.5	99.5
0.2231064	22.5	99.5
0.232843	23.5	99.5
0.2425563	24.5	99.5
0.2522454	25.5	99.5
0.2619093	26.5	99.5
0.2715469	27.5	99.5
0.2811575	28.5	99.5
0.2907399	29.5	99.5
0.3002932	30.5	99.5
0.3098165	31.5	99.5
0.3193088	32.5	99.5
0.3287692	33.5	99.5
0.3381967	34.5	99.5
0.3475904	35.5	99.5
0.3569493	36.5	99.5
0.3662725	37.5	99.5
0.3755592	38.5	99.5
0.3848082	39.5	99.5
0.3940188	40.5	99.5
0.4031899	41.5	99.5
0.4123208	42.5	99.5
0.4214104	43.5	99.5
0.4304579	44.5	99.5
0.4394623	45.5	99.5
0.4484228	46.5	99.5
0.4573385	47.5	99.5
0.4662084	48.5	99.5
0.4750316	49.5	99.5
0.4838074	50.5	99.5
0.4925348	51.5	99.5
0.501213	52.5	99.5
0.509841	53.5	99.5
0.5184181	54.5	99.5
0.5269433	55.5	99.5
0.5354158	56.5	99.5
0.5438348	57.5	99.5
0.5521994	58.5	99.5
0.5605087	59.5	99.5
0.5687621	60.5	99.5
0.5769585	61.5	99.5
0.5850973	62.5	99.5
0.5931775	63.5	99.5
0.6011984	64.5	99.5
0.6091592	65.5	99.5
0.6170591	66.5	99.5
0.6248973	67.5	99.5
0.632673	68.5	99.5
0.6403854	69.5	99.5
0.6480339	70.5	99.5
0.6556174	71.5	99.5
0.6631355	72.5	99.5
0.6705872	73.5	99.5
0.6779718	74.5	99.5
0.6852887	75.5	99.5
0.692537	76.5	99.5
0.6997161	77.5	99.5
0.7068252	78.5	99.5
0.7138636	79.5	99.5
0.7208306	80.5	99.5
0.7277256	81.5	99.5
0.7345478	82.5	99.5
0.7412965	83.5	99.5
0.7479711	84.5	99.5
0.7545709	85.5	99.5
0.7610953	86.5	99.5
0.7675435	87.5	99.5
0.773915	88.5	99.5
0.7802091	89.5	99.5
0.7864252	90.5	99.5
0.7925626	91.5	99.5
0.7986208	92.5	99.5
0.8045991	93.5	99.5
0.8104969	94.5	99.5
0.8163137	95.5	99.5
0.8220489	96.5	99.5
0.8277019	97.5	99.5
0.8332721	98.5	99.5
0.8387589	99.5	99.5
0.004999979	0.5	98.5
0.01499944	1.5	98.5
0.0249974	2.5	98.5
0.03499286	3.5	98.5
0.04498481	4.5	98.5
0.05497228	5.5	98.5
0.06495424	6.5	98.5
0.07492971	7.5	98.5
0.08489768	8.5	98.5
0.09485717	9.5	98.5
0.1048072	10.5	98.5
0.1147467	11.5	98.5
0.1246747	12.5	98.5
0.1345903	13.5	98.5
0.1444924	14.5	98.5
0.1543801	15.5	98.5
0.1642523	16.5	98.5
0.1741081	17.5	98.5
0.1839465	18.5	98.5
0.1937665	19.5	98.5
0.2035672	20.5	98.5
0.2133474	21.5	98.5
0.2231064	22.5	98.5
0.232843	23.5	98.5
0.2425563	24.5	98.5
0.2522454	25.5	98.5
0.2619093	26.5	98.5
0.2715469	27.5	98.5
0.2811575	28.5	98.5
0.2907399	29.5	98.5
0.3002932	30.5	98.5
0.3098165	31.5	98.5
0.3193088	32.5	98.5
0.3287692	33.5	98.5
0.3381967	34.5	98.5
0.3475904	35.5	98.5
0.3569493	36.5	98.5
0.3662725	37.5	98.5
0.3755592	38.5	98.5
0.3848082	39.5	98.5
0.3940188	40.5	98.5
0.4031899	41.5	98.5
0.4123208	42.5	98.5
0.4214104	43.5	98.5
0.4304579	44.5	98.5
0.4394623	45.5	98.5
0.4484228	46.5	98.5
0.4573385	47.5	98.5
0.4662084	48.5	98.5
0.4750316	49.5	98.5
0.4838074	50.5	98.5
0.4925348	51.5	98.5
0.501213	52.5	98.5
0.509841	53.5	98.5
0.5184181	54.5	98.5
0.5269433	55.5	98.5
0.5354158	56.5	98.5
0.5438348	57.5	98.5
0.5521994	58.5	98.5
0.5605087	59.5	98.5
0.5687621	60.5	98.5
0.5769585	61.5	98.5
0.5850973	62.5	98.5
0.5931775	63.5	98.5
0.6011984	64.5	98.5
0.6091592	65.5	98.5
0.6170591	66.5	98.5
0.6248973	67.5	98.5
0.632673	68.5	98.5
0.6403854	69.5	98.5
0.6480339	70.5	98.5
0.6556174	71.5	98.5
0.6631355	72.5	98.5
0.6705872	73.5	98.5
0.6779718	74.5	98.5
0.6852887	75.5	98.5
0.692537	76.5	98.5
0.6997161	77.5	98.5
0.7068252	78.5	98.5
0.7138636	79.5	98.5
0.7208306	80.5	98.5
0.7277256	81.5	98.5
0.7345478	82.5	98.5
0.7412965	83.5	98.5
0.7479711	84.5	98.5
0.7545709	85.5	98.5
0.7610953	86.5	98.5
0.7675435	87.5	98.5
0.773915	88.5	98.5
0.7802091	89.5	98.5
0.7864252	90.5	98.5
0.7925626	91.5	98.5
0.7986208	92.5	98.5
0.8045991	93.5	98.5
0.8104969	94.5	98.5
0.8163137	95.5	98.5
0.8220489	96.5	98.5
0.8277019	97.5	98.5
0.8332721	98.5	98.5
0.8387589	99.5	98.5
0.004999979	0.5	97.5
0.01499944	1.5	97.5
0.0249974	2.5	97.5
0.03499286	3.5	97.5
0.04498481	4.5	97.5
0.05497228	5.5	97.5
0.06495424	6.5	97.5
0.07492971	7.5	97.5
0.08489768	8.5	97.5
0.09485717	9.5	97.5
0.1048072	10.5	97.5
0.1147467	11.5	97.5
0.1246747	12.5	97.5
0.1345903	13.5	97.5
0.1444924	14.5	97.5
0.1543801	15.5	97.5
0.1642523	16.5	97.5
0.1741081	17.5	97.5
0.1839465	18.5	97.5
0.1937665	19.5	97.5
0.2035672	20.5	97.5
0.2133474	21.5	97.5
0.2231064	22.5	97.5
0.232843	23.5	97.5
0.2425563	24.5	97.5
0.2522454	25.5	97.5
0.2619093	26.5	97.5
0.2715469	27.5	97.5
0.2811575	28.5	97.5
0.2907399	29.5	97.5
0.3002932	30.5	97.5
0.3098165	31.5	97.5
0.3193088	32.5	97.5
0.3287692	33.5	97.5
0.3381967	34.5	97.5
0.3475904	35.5	97.5
0.3569493	36.5	97.5
0.3662725	37.5	97.5
0.3755592	38.5	97.5
0.3848082	39.5	97.5
0.3940188	40.5	97.5
0.4031899	41.5	97.5
0.4123208	42.5	97.5
0.4214104	43.5	97.5
0.4304579	44.5	97.5
0.4394623	45.5	97.5
0.4484228	46.5	97.5
0.4573385	47.5	97.5
0.4662084	48.5	97.5
0.4750316	49.5	97.5
0.4838074	50.5	97.5
0.4925348	51.5	97.5
0.501213	52.5	97.5
0.509841	53.5	97.5
0.5184181	54.5	97.5
0.5269433	55.5	97.5
0.5354158	56.5	97.5
0.5438348	57.5	97.5
0.5521994	58.5	97.5
0.5605087	59.5	97.5
0.5687621	60.5	97.5
0.5769585	61.5	97.5
0.5850973	62.5	97.5
0.5931775	63.5	97.5
0.6011984	64.5	97.5
0.6091592	65.5	97.5
0.6170591	66.5	97.5
0.6248973	67.5	97.5
0.632673	68.5	97.5
0.6403854	69.5	97.5
0.6480339	70.5	97.5
0.6556174	71.5	97.5
0.6631355	72.5	97.5
0.6705872	73.5	97.5
0.6779718	74.5	97.5
0.6852887	75.5	97.5
0.692537	76.5	97.5
0.6997161	77.5	97.5
0.7068252	78.5	97.5
0.7138636	79.5	97.5
0.7208306	80.5	97.5
0.7277256	81.5	97.5
0.7345478	82.5	97.5
0.7412965	83.5	97.5
0.7479711	84.5	97.5
0.7545709	85.5	97.5
0.7610953	86.5	97.5
0.7675435	87.5	97.5
0.773915	88.5	97.5
0.7802091	89.5	97.5
0.7864252	90.5	97.5
0.7925626	91.5	97.5
0.7986208	92.5	97.5
0.8045991	93.5	97.5
0.8104969	94.5	97.5
0.8163137	95.5	97.5
0.8220489	96.5	97.5
0.8277019	97.5	97.5
0.8332721	98.5	97.5
0.8387589	99.5	97.5
0.004999979	0.5	96.5
0.01499944	1.5	96.5
0.0249974	2.5	96.5
0.03499286	3.5	96.5
0.04498481	4.5	96.5
0.05497228	5.5	96.5
0.06495424	6.5	96.5
0.07492971	7.5	96.5
0.08489768	8.5	96.5
0.09485717	9.5	96.5
0.1048072	10.5	96.5
