x,y,site,Colour,site1,site2,site3,,
1.5,-6.5,site1,blue,1,0,0,,
1.5,-5.5,site1,blue,1,0,0,,
1.5,-4.5,site1,blue,1,0,0,,
2.5,-6.5,site1,blue,1,0,0,,
2.5,-5.5,site1,blue,1,0,0,,
2.5,-4.5,site1,blue,1,0,0,,
6.5,-2.5,site1,green,1,0,0,,
6.5,-1.5,site1,green,1,0,0,,
6.5,-0.5,site1,green,1,0,0,,
7.5,-2.5,site1,green,1,0,0,,
7.5,-1.5,site1,green,1,0,0,,
7.5,-0.5,site1,green,1,0,0,,
4.5,-4.5,site1,purple,1,0,0,,
4.5,-3.5,site1,purple,1,0,0,,
5.5,-4.5,site1,purple,1,0,0,,
5.5,-3.5,site1,purple,1,0,0,,
6.5,-4.5,site1,purple,1,0,0,,
6.5,-3.5,site1,purple,1,0,0,,
0.5,-1.5,site1,red,1,0,0,,
0.5,-0.5,site1,red,1,0,0,,
1.5,-1.5,site1,red,1,0,0,,
1.5,-0.5,site1,red,1,0,0,,
2.5,-1.5,site1,red,1,0,0,,
2.5,-0.5,site1,red,1,0,0,,
3.5,-1.5,site1,yellow,1,0,0,,
3.5,-0.5,site1,yellow,1,0,0,,
3.5,0.5,site1,yellow,1,0,0,,
4.5,-1.5,site1,yellow,1,0,0,,
4.5,-0.5,site1,yellow,1,0,0,,
4.5,0.5,site1,yellow,1,0,0,,
10.5,-6.5,site2,blue,0,1,0,,
10.5,-5.5,site2,blue,0,1,0,,
10.5,-4.5,site2,blue,0,1,0,,
10.5,-3.5,site2,blue,0,1,0,,
11.5,-6.5,site2,blue,0,1,0,,
11.5,-5.5,site2,blue,0,1,0,,
11.5,-4.5,site2,blue,0,1,0,,
11.5,-3.5,site2,blue,0,1,0,,
11.5,-2.5,site2,blue,0,1,0,,
12.5,-6.5,site2,blue,0,1,0,,
12.5,-5.5,site2,blue,0,1,0,,
12.5,-4.5,site2,blue,0,1,0,,
12.5,-3.5,site2,blue,0,1,0,,
12.5,-2.5,site2,blue,0,1,0,,
13.5,-5.5,site2,blue,0,1,0,,
13.5,-4.5,site2,blue,0,1,0,,
13.5,-3.5,site2,blue,0,1,0,,
13.5,-2.5,site2,blue,0,1,0,,
16.5,-2.5,site2,green,0,1,0,,
16.5,-1.5,site2,green,0,1,0,,
16.5,-0.5,site2,green,0,1,0,,
17.5,-2.5,site2,green,0,1,0,,
17.5,-1.5,site2,green,0,1,0,,
17.5,-0.5,site2,green,0,1,0,,
14.5,-6.5,site2,purple,0,1,0,,3
14.5,-5.5,site2,purple,0,1,0,,
