Element,Axis_0,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TREENAME
1,1,0,126___,1,0,anonymous_0
10,10,0.416666666666667,3350000:850000,10,6,anonymous_0
100,100,0.018452781786115,101___,100,99,anonymous_0
101,101,0.09259184443008,90___,101,100,anonymous_0
102,102,0.067969816131581,76___,102,101,anonymous_0
103,103,0.333333333333333,3350000:750000,103,102,anonymous_0
104,104,0.333333333333333,3450000:750000,104,102,anonymous_0
105,105,0.132616280778045,69___,105,101,anonymous_0
106,106,0.06996891996892,54___,106,105,anonymous_0
107,107,0.107808857808858,42___,107,106,anonymous_0
108,108,0.0909090909090909,2950000:650000,108,107,anonymous_0
109,109,0.0909090909090909,3050000:650000,109,107,anonymous_0
11,11,0.62037037037037,3250000:750000,11,5,anonymous_0
110,110,0.198717948717949,3050000:750000,110,106,anonymous_0
111,111,0.268686868686869,41___,111,105,anonymous_0
112,112,0,3150000:650000,112,111,anonymous_0
113,113,0,2850000:750000,113,111,anonymous_0
114,114,0,2950000:750000,114,111,anonymous_0
115,115,0.493894993894994,2750000:750000,115,100,anonymous_0
116,116,0.134040897374231,89___,116,99,anonymous_0
117,117,0.051034151034151,72___,117,116,anonymous_0
118,118,0.087391774891775,63___,118,117,anonymous_0
119,119,0.01765873015873,62___,119,118,anonymous_0
12,12,0.219755468007348,107___,12,4,anonymous_0
120,120,0.079365079365079,49___,120,119,anonymous_0
121,121,0.142857142857143,27___,121,120,anonymous_0
122,122,0,3050000:150000,122,121,anonymous_0
123,123,0,2850000:650000,123,121,anonymous_0
124,124,0,3150000:50000,124,121,anonymous_0
125,125,0,3050000:350000,125,121,anonymous_0
126,126,0,3250000:150000,126,121,anonymous_0
127,127,0.142857142857143,3150000:350000,127,120,anonymous_0
128,128,0.222222222222222,12___,128,119,anonymous_0
129,129,0,3050000:50000,129,128,anonymous_0
13,13,0.025367172510029,105___,13,12,anonymous_0
130,130,0,3250000:450000,130,128,anonymous_0
131,131,0.097023809523809,47___,131,118,anonymous_0
132,132,0.142857142857143,16___,132,131,anonymous_0
133,133,0,3150000:150000,133,132,anonymous_0
134,134,0,3150000:250000,134,132,anonymous_0
135,135,0.142857142857143,3250000:250000,135,131,anonymous_0
136,136,0.327272727272727,3250000:350000,136,117,anonymous_0
137,137,0.178306878306878,57___,137,116,anonymous_0
138,138,0.2,32___,138,137,anonymous_0
139,139,0,2750000:650000,139,138,anonymous_0
14,14,0.090559440559441,97___,14,13,anonymous_0
140,140,0,3050000:550000,140,138,anonymous_0
141,141,0.2,2650000:650000,141,137,anonymous_0
142,142,0.101444025551168,98___,142,98,anonymous_0
143,143,0.211111111111111,68___,143,142,anonymous_0
144,144,0.123809523809524,51___,144,143,anonymous_0
145,145,0.142857142857143,3250000:650000,145,144,anonymous_0
146,146,0.142857142857143,3350000:650000,146,144,anonymous_0
147,147,0.266666666666667,3450000:650000,147,143,anonymous_0
148,148,0.477777777777778,33___,148,142,anonymous_0
149,149,0,2950000:50000,149,148,anonymous_0
15,15,0.101178451178451,85___,15,14,anonymous_0
150,150,0,3150000:550000,150,148,anonymous_0
151,151,0,2550000:1050000,151,148,anonymous_0
152,152,0,2950000:350000,152,148,anonymous_0
153,153,0.751767473718693,34___,153,77,anonymous_0
154,154,0,2550000:750000,154,153,anonymous_0
155,155,0,2650000:750000,155,153,anonymous_0
156,156,0.15495561716492,114___,156,76,anonymous_0
157,157,0.3,92___,157,156,anonymous_0
158,158,0.208333333333333,59___,158,157,anonymous_0
159,159,0.2,3050000:850000,159,158,anonymous_0
16,16,0.018518518518519,84___,16,15,anonymous_0
160,160,0.2,3250000:850000,160,158,anonymous_0
161,161,0.208333333333333,55___,161,157,anonymous_0
162,162,0.2,3150000:750000,162,161,anonymous_0
163,163,0.2,3150000:850000,163,161,anonymous_0
164,164,0.708333333333333,14___,164,156,anonymous_0
165,165,0,2950000:250000,165,164,anonymous_0
166,166,0,3050000:250000,166,164,anonymous_0
167,167,0.0946674260020131,119___,167,75,anonymous_0
168,168,0.161080827067669,111___,168,167,anonymous_0
169,169,0.149305555555556,100___,169,168,anonymous_0
17,17,0.333333333333333,38___,17,16,anonymous_0
170,170,0.129563492063492,86___,170,169,anonymous_0
171,171,0.03015873015873,71___,171,170,anonymous_0
172,172,0.082275132275132,64___,172,171,anonymous_0
173,173,0.048280423280424,53___,173,172,anonymous_0
174,174,0.053571428571428,48___,174,173,anonymous_0
175,175,0.142857142857143,2450000:1050000,175,174,anonymous_0
