ELEMENT,El_0,El_1,Genus:sp1,Genus:sp10,Genus:sp11,Genus:sp12,Genus:sp13,Genus:sp14,Genus:sp15,Genus:sp16,Genus:sp17,Genus:sp18,Genus:sp19,Genus:sp2,Genus:sp20,Genus:sp21,Genus:sp22,Genus:sp23,Genus:sp24,Genus:sp25,Genus:sp26,Genus:sp27,Genus:sp28,Genus:sp29,Genus:sp3,Genus:sp30,Genus:sp31,Genus:sp4,Genus:sp5,Genus:sp6,Genus:sp7,Genus:sp8,Genus:sp9
1962500:1387500,1962500,1387500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1962500:1412500,1962500,1412500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1987500:1362500,1987500,1362500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1987500:1387500,1987500,1387500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2037500:1362500,2037500,1362500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2062500:1262500,2062500,1262500,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,
2062500:1312500,2062500,1312500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2062500:1362500,2062500,1362500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2137500:1087500,2137500,1087500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2137500:1287500,2137500,1287500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2162500:1112500,2162500,1112500,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
2162500:1137500,2162500,1137500,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
2162500:1162500,2162500,1162500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2162500:1187500,2162500,1187500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2162500:1212500,2162500,1212500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2162500:1237500,2162500,1237500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2187500:1087500,2187500,1087500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2187500:1112500,2187500,1112500,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
2187500:1137500,2187500,1137500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2187500:1237500,2187500,1237500,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2212500:1237500,2212500,1237500,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2237500:1237500,2237500,1237500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2237500:962500,2237500,962500,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237500:987500,2237500,987500,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2262500:1062500,2262500,1062500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2262500:937500,2262500,937500,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500:962500,2262500,962500,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500:987500,2262500,987500,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287500:937500,2287500,937500,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
2287500:962500,2287500,962500,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,
2287500:987500,2287500,987500,,,4,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
2312500:962500,2312500,962500,,,4,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
2312500:987500,2312500,987500,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
2337500:1037500,2337500,1037500,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
2337500:1062500,2337500,1062500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2337500:962500,2337500,962500,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
2337500:987500,2337500,987500,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
2362500:1287500,2362500,1287500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2362500:962500,2362500,962500,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362500:987500,2362500,987500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2387500:1012500,2387500,1012500,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387500:1137500,2387500,1137500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2387500:987500,2387500,987500,,,9,10,,,,,,1,,,,4,,,,,,,,,,,,,,,,,
2412500:1012500,2412500,1012500,,,14,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
2412500:1037500,2412500,1037500,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
2412500:1062500,2412500,1062500,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
2412500:1187500,2412500,1187500,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2412500:987500,2412500,987500,,,2,3,,,,,,1,,,,9,,,,,,,,,,,,,,,,,
2437500:1012500,2437500,1012500,,,6,,,,,,,3,,,,18,,,,,,,,,,1,,,,,,,
2437500:1037500,2437500,1037500,,,13,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
2437500:1062500,2437500,1062500,,,104,,,,,,,,,,,34,,,,,,,,,,,,,,,,,
2437500:1087500,2437500,1087500,,,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
2437500:1112500,2437500,1112500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2437500:1187500,2437500,1187500,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2437500:987500,2437500,987500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2462500:1012500,2462500,1012500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2462500:1037500,2462500,1037500,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
2462500:1062500,2462500,1062500,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462500:1087500,2462500,1087500,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,
2462500:1112500,2462500,1112500,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
2462500:1137500,2462500,1137500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2462500:1162500,2462500,1162500,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
2462500:1187500,2462500,1187500,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
2462500:1212500,2462500,1212500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2462500:1237500,2462500,1237500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2487500:1037500,2487500,1037500,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
2512500:1062500,2512500,1062500,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512500:937500,2512500,937500,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2537500:787500,2537500,787500,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2537500:937500,2537500,937500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
