Row,Column,Value
Genus:sp10,Genus:sp10,0.04014
Genus:sp10,Genus:sp11,0.01152
Genus:sp10,Genus:sp12,0.0478
Genus:sp10,Genus:sp13,0.0429
Genus:sp10,Genus:sp14,0.06331
Genus:sp10,Genus:sp15,0.04745
Genus:sp10,Genus:sp16,0.01696
Genus:sp10,Genus:sp17,0.04714
Genus:sp10,Genus:sp18,0.05819
Genus:sp10,Genus:sp19,0.05267
Genus:sp10,Genus:sp2,0.04184
Genus:sp10,Genus:sp20,0.04668
Genus:sp10,Genus:sp21,0.04888
Genus:sp10,Genus:sp22,0.05249
Genus:sp10,Genus:sp23,0.04422
Genus:sp10,Genus:sp24,0.049
Genus:sp10,Genus:sp25,0.04612
Genus:sp10,Genus:sp26,0.05775
Genus:sp10,Genus:sp27,0.04845
Genus:sp10,Genus:sp28,0.05061
Genus:sp10,Genus:sp29,0.04857
Genus:sp10,Genus:sp3,0.03716
Genus:sp10,Genus:sp30,0.04628
Genus:sp10,Genus:sp31,0.04675
Genus:sp10,Genus:sp32,0.05948
Genus:sp10,Genus:sp33,0.0458
Genus:sp10,Genus:sp34,0.04795
Genus:sp10,Genus:sp35,0.04538
Genus:sp10,Genus:sp36,0.05827
Genus:sp10,Genus:sp37,0.05226
Genus:sp10,Genus:sp38,0.04103
Genus:sp10,Genus:sp39,0.05819
Genus:sp10,Genus:sp4,0.03968
Genus:sp10,Genus:sp40,0.0417
Genus:sp10,Genus:sp41,0.0472
Genus:sp10,Genus:sp42,0.05594
Genus:sp10,Genus:sp43,0.01899
Genus:sp10,Genus:sp44,0.05762
Genus:sp10,Genus:sp45,0.05133
Genus:sp10,Genus:sp46,0.05518
Genus:sp10,Genus:sp47,0.05033
Genus:sp10,Genus:sp48,0.02411
Genus:sp10,Genus:sp49,0.04515
Genus:sp10,Genus:sp5,0.05046
Genus:sp10,Genus:sp50,0.05037
Genus:sp10,Genus:sp51,0.05323
Genus:sp10,Genus:sp52,0.06305
Genus:sp10,Genus:sp53,0.05375
Genus:sp10,Genus:sp54,0.02107
Genus:sp10,Genus:sp55,0.05041
Genus:sp10,Genus:sp56,0.04806
Genus:sp10,Genus:sp57,0.0529
Genus:sp10,Genus:sp58,0.04438
Genus:sp10,Genus:sp59,0.04422
Genus:sp10,Genus:sp6,0.03914
Genus:sp10,Genus:sp60,0.0439
Genus:sp10,Genus:sp61,0.04605
Genus:sp10,Genus:sp62,0.05614
Genus:sp10,Genus:sp63,0.04254
Genus:sp10,Genus:sp64,0.04835
Genus:sp10,Genus:sp65,0.04575
Genus:sp10,Genus:sp66,0.04181
Genus:sp10,Genus:sp67,0.05112
Genus:sp10,Genus:sp68,0.03946
Genus:sp10,Genus:sp69,0.02232
Genus:sp10,Genus:sp7,0.03643
Genus:sp10,Genus:sp8,0.0499
Genus:sp10,Genus:sp9,0.04416
Genus:sp11,Genus:sp10,0.01152
Genus:sp11,Genus:sp11,0.03705
Genus:sp11,Genus:sp12,0.04061
Genus:sp11,Genus:sp13,0.02089
Genus:sp11,Genus:sp14,0.05679
Genus:sp11,Genus:sp15,0.03182
Genus:sp11,Genus:sp16,0.04248
Genus:sp11,Genus:sp17,0.04803
Genus:sp11,Genus:sp18,0.04997
Genus:sp11,Genus:sp19,0.03931
Genus:sp11,Genus:sp2,0.0396
Genus:sp11,Genus:sp20,0.03703
Genus:sp11,Genus:sp21,0.0382
Genus:sp11,Genus:sp22,0.04112
Genus:sp11,Genus:sp23,0.01598
Genus:sp11,Genus:sp24,0.03983
Genus:sp11,Genus:sp25,0.01662
Genus:sp11,Genus:sp26,0.05237
Genus:sp11,Genus:sp27,0.02575
Genus:sp11,Genus:sp28,0.04077
Genus:sp11,Genus:sp29,0.04262
Genus:sp11,Genus:sp3,0.04757
Genus:sp11,Genus:sp30,0.0382
Genus:sp11,Genus:sp31,0.04051
Genus:sp11,Genus:sp32,0.05159
Genus:sp11,Genus:sp33,0.02308
Genus:sp11,Genus:sp34,0.0426
Genus:sp11,Genus:sp35,0.04289
Genus:sp11,Genus:sp36,0.05573
Genus:sp11,Genus:sp37,0.03831
Genus:sp11,Genus:sp38,0.00188
Genus:sp11,Genus:sp39,0.05306
Genus:sp11,Genus:sp4,0.00605
Genus:sp11,Genus:sp40,0.01963
Genus:sp11,Genus:sp41,0.03941
Genus:sp11,Genus:sp42,0.04976
