tree_name,genus,species
'Genus:sp1',Genus,sp1
'Genus:sp2',Genus,sp2
'Genus:sp3',Genus,sp3
'Genus:sp4',Genus,sp4
'Genus:sp5',Genus,sp5
'Genus:sp6',Genus,sp6
'Genus:sp7',Genus,sp7
'Genus:sp8',Genus,sp8
'Genus:sp9',Genus,sp9
'Genus:sp10',Genus,sp10
'Genus:sp11',Genus,sp11
'Genus:sp12',Genus,sp12
'Genus:sp13',Genus,sp13
'Genus:sp14',Genus,sp14
'Genus:sp15',Genus,sp15
'Genus:sp16',Genus,sp16
'Genus:sp17',Genus,sp17
'Genus:sp18',Genus,sp18
'Genus:sp19',Genus,sp19
'Genus:sp20',Genus,sp20
'Genus:sp21',Genus,sp21
'Genus:sp22',Genus,sp22
'Genus:sp23',Genus,sp23
'Genus:sp24',Genus,sp24
'Genus:sp25',Genus,sp25
'Genus:sp26',Genus,sp26
'Genus:sp27',Genus,sp27
'Genus:sp28',Genus,sp28
'Genus:sp29',Genus,sp29
'Genus:sp30',Genus,sp30
'Genus:sp31',Genus,sp31
