num,'genus species',x,y
1,'Genus sp1',3229628.144,3078197.708
2,'Genus sp1',3216986.364,2951192.309
3,'Genus sp1',3216038.331,2960749.322
4,'Genus sp2',3217265.071,2960874.379
5,'Genus sp2',3205745.731,2963059.801
6,'Genus sp2',3214891.41,2928147.063
7,'Genus sp2',3219317.279,2971029.526
8,'Genus sp2',3222862.015,2964370.214
10,'Genus sp2',3212458.146,2941450.158
11,'Genus sp2',3190927.597,2934733.879
13,'Genus sp1',3219062.392,2957000.395
14,'Genus sp2',3214927.972,2957598.276
17,'Genus sp2',3224316.252,2949812.85
18,'Genus sp2',3213747.029,2958541.561
19,'Genus sp3',3217002.785,2851990.43
20,'Genus sp3',3218154.45,2860837.224
21,'Genus sp3',3269737.444,2861722.441
22,'Genus sp3',3271211.081,2856803.277
27,'Genus sp1',3674506.462,2346302.09
32,'Genus sp4',3508293.759,2205062.899
33,'Genus sp2',3523328.817,2283708.702
34,'Genus sp2',3523458.292,2208871.474
35,'Genus sp2',3524561.355,2229936.613
36,'Genus sp2',3525733.138,2285682.192
38,'Genus sp2',3518610.278,2283207.832
39,'Genus sp3',3523628.836,2281900.096
40,'Genus sp2',3527155.402,2285608.841
42,'Genus sp2',3523328.772,2201927.977
43,'Genus sp3',3516010.914,2201544.528
45,'Genus sp4',3518978.909,2200562.809
47,'Genus sp3',3526275.942,2202700.182
51,'Genus sp2',3516577.816,2207202.714
52,'Genus sp2',3524430.085,2286931.125
53,'Genus sp2',3521141.742,2286008.379
54,'Genus sp4',3523918.218,2200378.103
55,'Genus sp3',3519116.975,2198589.788
56,'Genus sp2',3518619.124,2205617.171
61,'Genus sp3',3448948.667,2096729.067
62,'Genus sp3',3435630.374,2167379.695
63,'Genus sp2',3701073.878,2067642.445
64,'Genus sp5',3738299.071,2134690.221
67,'Genus sp3',3399302.77,2091881.723
68,'Genus sp1',3703011.061,2112487.047
69,'Genus sp2',3348498.96,2109001.603
75,'Genus sp2',3282984.599,2146228.769
78,'Genus sp3',3307852.031,2112888.668
80,'Genus sp2',3541744.796,2080101.838
81,'Genus sp2',3693807.508,2062672.34
83,'Genus sp2',3502990.109,2076107.639
85,'Genus sp2',3592219.937,2048978.321
91,'Genus sp2',3692848.359,1946458.744
92,'Genus sp6',3724498.523,1997992.472
93,'Genus sp6',3728074.566,2007559.748
94,'Genus sp7',3722882.903,1996018.249
95,'Genus sp7',3700955.253,2039871.525
96,'Genus sp2',3404947.383,2088150.415
98,'Genus sp6',3634106.161,2020075.733
99,'Genus sp2',3607492,2010520.485
103,'Genus sp8',3896355.268,1985669.819
109,'Genus sp9',3860105.804,1932518.081
111,'Genus sp10',3727333.9,2012165.212
112,'Genus sp3',3522931.453,2048712.927
113,'Genus sp3',3703018.719,2005968.15
117,'Genus sp2',3730325.639,1995214.703
118,'Genus sp3',3602484.141,2018688.018
119,'Genus sp3',3621173.38,2008643.105
126,'Genus sp3',3595520.106,2039944.653
128,'Genus sp2',3608883.648,2014341.061
129,'Genus sp8',3687787.377,2002608.802
132,'Genus sp6',3684722.515,2005598.513
134,'Genus sp1',3783987.181,1964001.296
135,'Genus sp10',3504899.949,2052753.225
137,'Genus sp7',3679649.801,2024276.781
139,'Genus sp4',3506585.809,2038566.636
141,'Genus sp6',3735190.164,1979521.991
147,'Genus sp8',3881987.429,1997072.76
151,'Genus sp3',3608325.103,1983411.313
152,'Genus sp10',3502546.091,2048610.834
153,'Genus sp6',3734127.591,1961745.897
154,'Genus sp2',3687056.725,1957609.81
155,'Genus sp4',3708959.604,1939052.958
158,'Genus sp3',3649693.216,1904350.65
159,'Genus sp6',3686458.332,1886009.175
160,'Genus sp9',3855924.843,1812563.947
161,'Genus sp4',3585209.976,1941450.077
162,'Genus sp6',3684425.566,1937229.155
163,'Genus sp1',3851024.065,1814172.873
164,'Genus sp1',3854208.166,1820894.056
167,'Genus sp6',3583348.527,1947479.248
168,'Genus sp10',3589035.907,1953826.337
170,'Genus sp1',3870450.646,1855052.312
171,'Genus sp6',3713913.092,1934887.444
173,'Genus sp1',3857106.291,1819103.41
174,'Genus sp7',3693271.595,1938101.8
176,'Genus sp11',3858681.528,1803900.475
179,'Genus sp9',3865211.354,1806867.807
180,'Genus sp9',3877824.687,1818138.625
181,'Genus sp9',3873105.347,1836307.459
182,'Genus sp9',3861272.273,1821775.978
183,'Genus sp8',3876144.065,1911673.589
186,'Genus sp7',3681818.771,1882973.233
188,'Genus sp9',3877204.668,1827422.235
190,'Genus sp9',3858596.938,1807176.552
191,'Genus sp1',3856437.94,1877957.527
192,'Genus sp1',3872455.41,1885391.726
197,'Genus sp8',3877846.222,1885627.432
198,'Genus sp11',3859531.469,1808924.757
199,'Genus sp7',3681556.034,1884526.61
200,'Genus sp9',3860465.444,1819753.845
203,'Genus sp6',3682214.728,1887637.004
204,'Genus sp7',3685112.092,1882006.541
205,'Genus sp9',3856329.78,1821713.867
206,'Genus sp9',3856105.449,1814465.866
207,'Genus sp9',3769943.781,1865393.041
208,'Genus sp9',3853273.939,1812601.016
209,'Genus sp9',3861903.648,1817035.853
210,'Genus sp9',3860173.156,1809645.645
211,'Genus sp8',3868714.79,1837927.902
212,'Genus sp8',3860620.621,1823189.973
213,'Genus sp8',3880411.049,1889314.403
214,'Genus sp8',3870057.633,1840931.078
215,'Genus sp11',3857779.24,1805586.727
217,'Genus sp11',3852920.766,1815723.456
218,'Genus sp9',3860021.131,1748877.548
224,'Genus sp10',3761201.402,1784915.358
226,'Genus sp10',3762472.334,1785265.884
227,'Genus sp9',3768235.093,1817875.38
228,'Genus sp9',3877149.277,1799116.687
229,'Genus sp9',3857910.569,1796157.922
230,'Genus sp1',3857716.638,1800276.34
231,'Genus sp3',3764602.341,1793484.089
232,'Genus sp3',3760082.698,1789925.787
236,'Genus sp9',3861023.37,1798819.841
247,'Genus sp9',3905375.821,1741045.151
248,'Genus sp9',3886047.186,1738250.488
249,'Genus sp9',3852663.812,1751012.149
250,'Genus sp3',3854598.388,1751520.399
251,'Genus sp3',3839693.109,1751118.489
252,'Genus sp3',3762505.663,1787614.092
253,'Genus sp1',3856693.385,1752729.225
254,'Genus sp1',3864469.381,1749541.444
255,'Genus sp12',3854281.863,1752664.177
262,'Genus sp3',3774664.388,1761682.436
267,'Genus sp3',3778395.449,1761767.542
271,'Genus sp10',3769921.204,1762866.965
272,'Genus sp10',3773209.731,1764966.295
273,'Genus sp5',3871774.228,1729076.497
274,'Genus sp1',3826116.573,1798046.974
284,'Genus sp9',3875437.176,1742942.405
285,'Genus sp9',3906056.755,1748342.059
287,'Genus sp3',3833105.942,1794765.919
288,'Genus sp3',3771861.685,1760946.72
307,'Genus sp10',3628612.307,1732111.665
310,'Genus sp13',3731928.662,1623498.297
313,'Genus sp14',3839937.496,1696904.713
314,'Genus sp11',3786822.189,1645247.66
316,'Genus sp13',3653328.716,1711721.553
317,'Genus sp13',3654261.92,1716119.646
