Element,Axis_0,Axis_1,NUM_MEAN,NUM_MIN,NUM_RANGE
1950000:1350000,1950000,1350000,305.458528951487,279,76
1950000:1450000,1950000,1450000,262.864,204,117
2050000:1250000,2050000,1250000,367.587438158744,328,118
2050000:1350000,2050000,1350000,295.385760869565,233,140
2150000:1050000,2150000,1050000,507.334341906203,404,173
2150000:1150000,2150000,1150000,428.160725532183,340,253
2150000:1250000,2150000,1250000,346.7868,288,143
2250000:1050000,2250000,1050000,461.523076923077,391,124
2250000:1250000,2250000,1250000,312.665088161209,228,195
2250000:950000,2250000,950000,691.305729984301,554,265
2350000:1050000,2350000,1050000,433.118717504333,371,413
2350000:1150000,2350000,1150000,386.180493983534,329,246
2350000:1250000,2350000,1250000,354.549557078389,225,421
2350000:950000,2350000,950000,586.853176272613,485,407
2450000:1050000,2450000,1050000,531.619406950792,285,785
2450000:1150000,2450000,1150000,410.9113,213,473
2450000:1250000,2450000,1250000,364.1505,205,401
2450000:950000,2450000,950000,481.44337735094,395,433
2550000:1050000,2550000,1050000,323.9524,259,153
2550000:750000,2550000,750000,725.784509046554,627,210
2550000:850000,2550000,850000,591.4786976519,499,206
2550000:950000,2550000,950000,469.107522485691,369,202
2650000:650000,2650000,650000,807.594871794872,735,175
2650000:750000,2650000,750000,704.070152417483,563,290
2650000:850000,2650000,850000,530.8264,395,252
2650000:950000,2650000,950000,383.4961,319,176
2750000:650000,2750000,650000,773.275552898984,615,424
2750000:750000,2750000,750000,657.9491,542,758
2750000:850000,2750000,850000,464.3711,365,625
2750000:950000,2750000,950000,344.1619,313,82
2850000:650000,2850000,650000,807.103004822555,509,1340
2850000:750000,2850000,750000,651.1892,490,660
2950000:250000,2950000,250000,2261.53066976127,1382,1976
2950000:350000,2950000,350000,1473.93450064851,868,1258
2950000:50000,2950000,50000,2251.50188679245,2140,566
2950000:650000,2950000,650000,692.807954235903,470,808
2950000:750000,2950000,750000,709.232024834769,464,804
3050000:150000,3050000,150000,1544.459,486,2488
3050000:250000,3050000,250000,1462.8129,655,2314
3050000:350000,3050000,350000,1132.39254385965,753,1467
3050000:50000,3050000,50000,1717.79539323511,756,1829
3050000:550000,3050000,550000,1019.15641609719,848,577
3050000:650000,3050000,650000,1062.74558604552,752,1082
3050000:750000,3050000,750000,1142.2566,626,1222
3050000:850000,3050000,850000,618.6471,416,929
3150000:150000,3150000,150000,664.696877590495,445,872
3150000:250000,3150000,250000,868.0972,451,1289
3150000:2950000,3150000,2950000,818.4245,737,662
3150000:350000,3150000,350000,959.791016159956,509,1301
3150000:50000,3150000,50000,957.274678111588,589,776
3150000:550000,3150000,550000,790.71144278607,704,314
3150000:650000,3150000,650000,728.362840710178,572,889
3150000:750000,3150000,750000,1193.0925,685,1811
3150000:850000,3150000,850000,952.8781,506,2075
3250000:150000,3250000,150000,718.461538461538,645,246
3250000:2150000,3250000,2150000,545.6689,489,145
3250000:250000,3250000,250000,908.404375441073,649,981
3250000:2850000,3250000,2850000,1887.28772852193,758,3033
3250000:2950000,3250000,2950000,2205.74605489988,823,5490
3250000:3050000,3250000,3050000,1991.3737280296,882,2715
3250000:350000,3250000,350000,836.946658097686,631,744
3250000:450000,3250000,450000,803.22351233672,689,498
3250000:650000,3250000,650000,802.786286112078,644,537
3250000:750000,3250000,750000,893.0139,603,1621
3250000:850000,3250000,850000,1168.8379,627,2036
3250000:950000,3250000,950000,815.0213,511,1156
3350000:1050000,3350000,1050000,690.0454,603,322
3350000:1150000,3350000,1150000,688.3304,536,491
3350000:1250000,3350000,1250000,580.6322,496,238
3350000:1350000,3350000,1350000,517.7449,445,396
3350000:2050000,3350000,2050000,619.497,546,313
3350000:2150000,3350000,2150000,612.0213,545,314
3350000:650000,3350000,650000,1038.1238238615,885,404
3350000:750000,3350000,750000,896.6634,535,1212
3350000:850000,3350000,850000,771.8167,495,1315
3350000:950000,3350000,950000,893.2959,604,1056
3450000:1050000,3450000,1050000,820.4313,654,653
3450000:1150000,3450000,1150000,777.8107,620,725
3450000:1250000,3450000,1250000,659.1251,567,279
3450000:1350000,3450000,1350000,655.4844,559,413
3450000:1450000,3450000,1450000,609.9983,517,255
3450000:1550000,3450000,1550000,525.1265,462,146
3450000:2050000,3450000,2050000,689.9861,601,272
3450000:2150000,3450000,2150000,645.3851,590,205
3450000:650000,3450000,650000,972.262820512821,901,264
3450000:750000,3450000,750000,926.914788097385,745,523
3450000:850000,3450000,850000,1000.98301850792,798,519
