num,genus,species,x,y
1,Genus,sp1,3229628.144,3078197.708
2,Genus,sp1,3216986.364,2951192.309
3,Genus,sp1,3216038.331,2960749.322
4,Genus,sp2,3217265.071,2960874.379
5,Genus,sp2,3205745.731,2963059.801
6,Genus,sp2,3214891.41,2928147.063
7,Genus,sp2,3219317.279,2971029.526
8,Genus,sp2,3222862.015,2964370.214
10,Genus,sp2,3212458.146,2941450.158
11,Genus,sp2,3190927.597,2934733.879
13,Genus,sp1,3219062.392,2957000.395
14,Genus,sp2,3214927.972,2957598.276
17,Genus,sp2,3224316.252,2949812.85
18,Genus,sp2,3213747.029,2958541.561
19,Genus,sp3,3217002.785,2851990.43
20,Genus,sp3,3218154.45,2860837.224
21,Genus,sp3,3269737.444,2861722.441
22,Genus,sp3,3271211.081,2856803.277
27,Genus,sp1,3674506.462,2346302.09
32,Genus,sp4,3508293.759,2205062.899
33,Genus,sp2,3523328.817,2283708.702
34,Genus,sp2,3523458.292,2208871.474
35,Genus,sp2,3524561.355,2229936.613
