Row,Column,Value
Genus:sp10,Genus:sp10,0.04014
Genus:sp10,Genus:sp11,0.01152
Genus:sp10,Genus:sp12,0.0478
Genus:sp10,Genus:sp13,0.0429
Genus:sp10,Genus:sp14,0.06331
Genus:sp10,Genus:sp15,0.04745
Genus:sp10,Genus:sp16,0.01696
Genus:sp10,Genus:sp17,0.04714
Genus:sp10,Genus:sp18,0.05819
Genus:sp10,Genus:sp19,0.05267
Genus:sp10,Genus:sp2,0.04184
Genus:sp10,Genus:sp20,0.04668
Genus:sp10,Genus:sp21,0.04888
Genus:sp10,Genus:sp22,0.05249
Genus:sp10,Genus:sp23,0.04422
Genus:sp10,Genus:sp24,0.049
Genus:sp10,Genus:sp25,0.04612
Genus:sp10,Genus:sp26,0.05775
Genus:sp10,Genus:sp27,0.04845
Genus:sp10,Genus:sp28,0.05061
Genus:sp10,Genus:sp29,0.04857
